"maxTp","minTp","date"
"17.8 °C","-2 °C","Fri Mar 05 00:00:00 CET 2021"
"7.8 °C","-2.4 °C","Sat Feb 20 00:00:00 CET 2021"
"4.7 °C","-0.2 °C","Tue Dec 15 00:00:00 CET 2020"
"8.6 °C","-4.2 °C","Sun Feb 21 00:00:00 CET 2021"
"7.5 °C","-6.5 °C","Thu Jan 14 00:00:00 CET 2021"
"9.8 °C","1.7 °C","Mon Oct 04 00:00:00 CEST 2021"
"15.5 °C","7.7 °C","Sun Apr 11 00:00:00 CEST 2021"
"8.6 °C","4.9 °C","Wed Jan 27 00:00:00 CET 2021"
"24.5 °C","12.3 °C","Mon Jun 07 00:00:00 CEST 2021"
"15 °C","9.1 °C","Fri Oct 01 00:00:00 CEST 2021"
"17.6 °C","-2.6 °C","Fri Jan 29 00:00:00 CET 2021"
"15.9 °C","1.6 °C","Sat Jan 16 00:00:00 CET 2021"
"24.5 °C","15.2 °C","Mon Aug 16 00:00:00 CEST 2021"
"13.3 °C","5.1 °C","Wed Sep 08 00:00:00 CEST 2021"
"15.5 °C","6.4 °C","Thu Mar 11 00:00:00 CET 2021"
"16.8 °C","4.4 °C","Tue Mar 09 00:00:00 CET 2021"
"27.7 °C","15.9 °C","Thu May 20 00:00:00 CEST 2021"
"10.8 °C","2.5 °C","Sun Jan 10 00:00:00 CET 2021"
"15.9 °C","-1.3 °C","Tue Sep 14 00:00:00 CEST 2021"
"9.6 °C","2.9 °C","Fri Mar 12 00:00:00 CET 2021"
"27 °C","9.9 °C","Tue Jul 20 00:00:00 CEST 2021"
"21.6 °C","5.5 °C","Mon Apr 26 00:00:00 CEST 2021"
"5.1 °C","0.7 °C","Thu Feb 18 00:00:00 CET 2021"
"25.6 °C","13.5 °C","Fri May 21 00:00:00 CEST 2021"
"N.C.","N.C.","Mon Mar 01 00:00:00 CET 2021"
"9.9 °C","7.2 °C","Thu Apr 01 00:00:00 CEST 2021"
"3.9 °C","-2.2 °C","Fri Dec 25 00:00:00 CET 2020"
"22.6 °C","16.9 °C","Mon Aug 09 00:00:00 CEST 2021"
"10 °C","0.7 °C","Sun Dec 27 00:00:00 CET 2020"
"25.6 °C","11.1 °C","Wed Aug 11 00:00:00 CEST 2021"
"16.2 °C","5.5 °C","Sun Apr 25 00:00:00 CEST 2021"
"5.6 °C","-0.4 °C","Fri Dec 18 00:00:00 CET 2020"
"14.6 °C","2.1 °C","Mon Sep 27 00:00:00 CEST 2021"
"17.3 °C","9.4 °C","Mon Jun 14 00:00:00 CEST 2021"
"5 °C","1.6 °C","Mon Oct 25 00:00:00 CEST 2021"
"13.7 °C","-1.2 °C","Wed Oct 13 00:00:00 CEST 2021"
"5.1 °C","2.1 °C","Fri Oct 22 00:00:00 CEST 2021"
"18.1 °C","3 °C","Sat Sep 25 00:00:00 CEST 2021"
"16.5 °C","4.6 °C","Tue Apr 06 00:00:00 CEST 2021"
"29.5 °C","11.7 °C","Fri May 14 00:00:00 CEST 2021"
"24.4 °C","14.2 °C","Sat May 22 00:00:00 CEST 2021"
"18.8 °C","-3.6 °C","Wed Feb 24 00:00:00 CET 2021"
"N.C.","N.C.","Fri Feb 26 00:00:00 CET 2021"
"15.3 °C","7.4 °C","Mon Sep 06 00:00:00 CEST 2021"
"30.3 °C","17.1 °C","Wed May 19 00:00:00 CEST 2021"
"9.1 °C","1 °C","Wed Oct 20 00:00:00 CEST 2021"
"8.5 °C","3.1 °C","Tue Oct 05 00:00:00 CEST 2021"
"21.1 °C","8 °C","Sun Aug 29 00:00:00 CEST 2021"
"26.5 °C","13.1 °C","Fri Jun 25 00:00:00 CEST 2021"
"25.2 °C","11.4 °C","Mon May 10 00:00:00 CEST 2021"
"11.7 °C","-4.4 °C","Sun Mar 14 00:00:00 CET 2021"
"11.2 °C","7.4 °C","Tue Mar 30 00:00:00 CEST 2021"
"18 °C","-0.8 °C","Sat Mar 20 00:00:00 CET 2021"
"9.5 °C","6.1 °C","Fri Oct 08 00:00:00 CEST 2021"
"11.7 °C","3.7 °C","Tue Dec 22 00:00:00 CET 2020"
"20.6 °C","7.8 °C","Sun Aug 22 00:00:00 CEST 2021"
"11.9 °C","0 °C","Sun Feb 07 00:00:00 CET 2021"
"28.9 °C","12.5 °C","Sun Jun 20 00:00:00 CEST 2021"
"18.2 °C","-0.7 °C","Tue Feb 02 00:00:00 CET 2021"
"9 °C","4.3 °C","Wed Oct 06 00:00:00 CEST 2021"
"25 °C","14.8 °C","Tue Aug 03 00:00:00 CEST 2021"
"18.6 °C","12.5 °C","Mon May 24 00:00:00 CEST 2021"
"30.6 °C","12.5 °C","Sat Aug 07 00:00:00 CEST 2021"
"23.9 °C","7 °C","Mon Aug 23 00:00:00 CEST 2021"
"20.5 °C","0.8 °C","Fri Sep 17 00:00:00 CEST 2021"
"7.9 °C","7.1 °C","Fri Oct 15 00:00:00 CEST 2021"
"15.8 °C","-0.4 °C","Tue Jan 26 00:00:00 CET 2021"
"23.2 °C","15.1 °C","Sat Jun 12 00:00:00 CEST 2021"
"10 °C","4.7 °C","Mon Feb 08 00:00:00 CET 2021"
"26.3 °C","15.6 °C","Tue Jul 06 00:00:00 CEST 2021"
"21 °C","9 °C","Fri Apr 16 00:00:00 CEST 2021"
"14.9 °C","6.1 °C","Mon Dec 28 00:00:00 CET 2020"
"19.2 °C","6.2 °C","Thu Apr 22 00:00:00 CEST 2021"
"26.3 °C","8.7 °C","Sat May 01 00:00:00 CEST 2021"
"23.1 °C","17.8 °C","Fri Jul 16 00:00:00 CEST 2021"
"16.7 °C","5.6 °C","Tue Apr 13 00:00:00 CEST 2021"
"13 °C","8.7 °C","Mon Dec 21 00:00:00 CET 2020"
"10.2 °C","7.3 °C","Thu Oct 14 00:00:00 CEST 2021"
"26.4 °C","14.5 °C","Fri May 28 00:00:00 CEST 2021"
"25.5 °C","9.6 °C","Fri Jul 09 00:00:00 CEST 2021"
"6.6 °C","3.8 °C","Wed Feb 17 00:00:00 CET 2021"
"24.1 °C","12.5 °C","Sat May 08 00:00:00 CEST 2021"
"26.4 °C","12.3 °C","Wed Aug 25 00:00:00 CEST 2021"
"19.6 °C","3.7 °C","Tue Sep 28 00:00:00 CEST 2021"
"27.5 °C","12.2 °C","Thu May 13 00:00:00 CEST 2021"
"21.4 °C","-0.7 °C","Mon Jan 25 00:00:00 CET 2021"
"10.8 °C","4.1 °C","Mon Dec 14 00:00:00 CET 2020"
"11.9 °C","-3.2 °C","Tue Feb 23 00:00:00 CET 2021"
"19 °C","11.9 °C","Wed Apr 21 00:00:00 CEST 2021"
"28.5 °C","13.4 °C","Sat Jun 19 00:00:00 CEST 2021"
"12.4 °C","6.4 °C","Sun Oct 03 00:00:00 CEST 2021"
"7.6 °C","6.3 °C","Fri Feb 05 00:00:00 CET 2021"
"22.2 °C","7.2 °C","Sun Sep 19 00:00:00 CEST 2021"
"9.8 °C","4.8 °C","Thu Jan 07 00:00:00 CET 2021"
"31.9 °C","13.7 °C","Wed Jul 21 00:00:00 CEST 2021"
"24.5 °C","2.8 °C","Tue Aug 31 00:00:00 CEST 2021"
"24.1 °C","5.9 °C","Wed Apr 28 00:00:00 CEST 2021"
"7.8 °C","1.3 °C","Sat Jan 09 00:00:00 CET 2021"
"16.7 °C","-0.5 °C","Thu Sep 16 00:00:00 CEST 2021"
"12.8 °C","-4.6 °C","Wed Mar 17 00:00:00 CET 2021"
"29.3 °C","12.1 °C","Fri Aug 06 00:00:00 CEST 2021"
"18.7 °C","8 °C","Fri Jul 30 00:00:00 CEST 2021"
"17.7 °C","10.5 °C","Tue Sep 21 00:00:00 CEST 2021"
"33.7 °C","16.5 °C","Mon Jul 12 00:00:00 CEST 2021"
"27.9 °C","12.3 °C","Wed May 12 00:00:00 CEST 2021"
"9.5 °C","-5.4 °C","Tue Mar 16 00:00:00 CET 2021"
"6.7 °C","4.4 °C","Sat Oct 23 00:00:00 CEST 2021"
"7.8 °C","-4.8 °C","Sun Mar 07 00:00:00 CET 2021"
"27.6 °C","14.1 °C","Tue May 04 00:00:00 CEST 2021"
"17 °C","11.4 °C","Thu Aug 19 00:00:00 CEST 2021"
"23.4 °C","15 °C","Thu Jun 17 00:00:00 CEST 2021"
"23.6 °C","13.7 °C","Thu Aug 26 00:00:00 CEST 2021"
"12.5 °C","1.2 °C","Mon Oct 11 00:00:00 CEST 2021"
"6.7 °C","-2.9 °C","Fri Feb 19 00:00:00 CET 2021"
"19.1 °C","3.8 °C","Tue Apr 20 00:00:00 CEST 2021"
"11.6 °C","9.3 °C","Sat Sep 04 00:00:00 CEST 2021"
"19.9 °C","7.7 °C","Sat Apr 24 00:00:00 CEST 2021"
"24.4 °C","11.4 °C","Mon May 31 00:00:00 CEST 2021"
"3.7 °C","0.2 °C","Thu Oct 28 00:00:00 CEST 2021"
"26.6 °C","17.1 °C","Sun Aug 15 00:00:00 CEST 2021"
"28 °C","4.6 °C","Thu Apr 08 00:00:00 CEST 2021"
"28 °C","11.2 °C","Tue Jun 29 00:00:00 CEST 2021"
"N.C.","N.C.","Sat Dec 26 00:00:00 CET 2020"
"17 °C","4.6 °C","Tue Jan 19 00:00:00 CET 2021"
"19.6 °C","-0.4 °C","Fri Sep 24 00:00:00 CEST 2021"
"15.3 °C","-0.4 °C","Fri Mar 19 00:00:00 CET 2021"
"22.6 °C","12 °C","Fri Sep 03 00:00:00 CEST 2021"
"19.3 °C","2.2 °C","Sat Sep 18 00:00:00 CEST 2021"
"15.6 °C","-7.4 °C","Mon Mar 08 00:00:00 CET 2021"
